subject_id,word,answer
65023,airplane,fly
65662,airplane,"You fly in it, Its big, it is fast, They are expensive, they are at an airport, you have to be trained to fly it, there are lots of seats, they get very high up"
63859,airplane,"flying, big, loud"
64606,airplane,"large, in air, carries people, uses gas"
64102,airplane,"has wings, has nose, flies, fast, holds people, need oil, large"
65833,airplane,"it is a machine, it is large, it flies in the air, it transports people from different places, tranportation, smells like coffee, crowded, cold, metal, used as a weapon, some people are frightened by them, they have wings, a pilot controls them, 9/11"
63349,airplane,"white, fly, air, go some where, location"
65653,airplane,"can fly, is big, travel, vacation, pilots, passengers, luggage"
65503,airplane,"long, large, several windows, several people on it, several workers"
65875,airplane,"is large, white, many windows."
64006,airplane,"jets, interior seats, bagage, emergency exits, pilot, co pilot, passengers"
65893,airplane,"the wings, the engine, the seats, the doors, the storage, the pilot"
65719,airplane,"is a sort of transportation, travel. carries people and luggage, takes off and flies in the air,"
65920,airplane,flys engine wings wheels seat pilot tail wheel passenger flight attentdent food pillow time sky turblance transportation
62311,airplane,"big,flies in the sky, used for travel"
65728,airplane,"large, metal, carries passengers, flys fast, flys high, long distance trips"
64666,airplane,"it flies, has an engine, has wings, seats people,"
63292,airplane,"has wings, has a tail, runs on gas"
63034,airplane,"Wings, Body, Flies, Travel"
63535,airplane,"it flies, has wings, people ride in it, its big, it has a jet, has pilots, can crash, transports people"
63871,airplane,"huge, windows, wings, people"
65740,airplane,"flies, grey, wings, fuel, windows"
65218,airplane,"used to bring people from one place to another, air travel, has propellers, used in combat, different sizes allows different amounts of seating, has a pilot"
64774,airplane,It flies. When they crash its big and firey. it holds people. it is flown by two people. It has two wings. It is large. It has a tail. It has wheels. It has windows.
64546,airplane,"Large, Aerodynamic"
62839,airplane,"it flies, has wings, uses gas, used for travel"
65335,airplane,flies high in the sky
63541,airplane,"fly, air, physics, milestones, passenger, wars, wings, used to transport, difference lays in engines, fast, high up, mile high club"
64873,airplane,"has wings, has an engine"
66028,airplane,"it flies,made of steel,holds passengers,travels quickly, runs on fuel, expensive, has a pilot,has wings,has an engine"
64498,airplane,"it can fly, it's heavy, its on land, it's in the air, people ride in it, people work on it, it's built from parts, it has cabins, it's warm, it's cold, it has an engine, it can go across country, it has passengers, it has a pilot, it's large"
64093,airplane,"to travel from country to country, state to state. Carry things such as mail, weapons, packages, packages, people."
66055,airplane,"air, wind, engines, technology, math, physics, crashes, heights, fear of heights, anxiety"
62935,airplane,"flying, heights, fear, 9/11, pilot, the movie ariplane"
63838,airplane,"An airplane has wings, engines, and has the abiliy to fly."
66067,airplane,"wings, it flys, modern technology, has passengers, requires a pilot, can be dangerous, runs on gas, used for travel"
66061,airplane,"long, wide, strong, heavy, metal, tough, durable"
62797,airplane,"it has wings, inside has seats, has large engines, runs on fuel"
65656,airplane,Wings Engine Pilot Cockpit Tail
65956,airplane,"it flies, can be large, can be small, it transports"
65083,airplane,"is big, is heavy"
63043,airplane,"flies, holds people, moves people, very big"
64198,airplane,"air, clouds, loud, high, wings, sky, big, found at airports"
64276,airplane,"they fly, aerodynamic, very large, possibly dangerous"
63475,airplane,"transport people, fast, aerodynamic,"
65803,airplane,"Fly in the air, take off on the ground, have wings, have wheels, passengers sit in them, pilots conduct them. must pay money to have a flight on one, run on gas. has seats. has seatbelts, gives drinks and peanuts on a flight. Are usually big."
65107,airplane,"flying, wing, pilot"
66151,airplane,flying
62854,airplane,flies
63199,airplane,"flies, has engines, white, loud, big, makes lift, runs on jet fuel"
64702,airplane,"wings, flys, pilot, cockpit, uses gas, faster travel"
62827,airplane,"transplantation, flying"
66178,airplane,are meant to fly. Help us travel. runs on fuel. is also a movie. can be big or small.
63925,airplane,"is made of metal,  carries passengers, travels quickly, looks neat, is multicolored, is made in factories, is long, inside has equipment, runs on gas, can be become hot, is a neccessety, inside has food, inside has seats, inside has technology"
65416,airplane,"is a transportation, runs on gas, used to travel"
63520,airplane,"wings, engines, passengers, pilot(s), vary in size and color"
64840,airplane,"flies, carries people, carries cargo, made of metal, has engines, driven by pilot, goes long distances"
65557,airplane,"flies, fast, has wings, has lift, made of steel, has windows, carries passengers, large, heavy"
64042,airplane,metal
65449,airplane,"Flys, used for travel"
63598,airplane,wings
65311,airplane,"Large, flys, made of metals, aerodynamic, burns fuel,seats passengers."
65692,airplane,"flight attendent, 9/11, peanuts, pilots, wings, sky, landing, travel"
66307,airplane,"flies, runs on gas, steered by a pilot, holds people, holds luggage, is big, made of metal, has wings, has engines, has windows"
64624,airplane,clouds
63322,airplane,"a form of transportation, flies, make of metal, funs on fuel,"
64216,airplane,"large. produces heat, flies, holds people"
65152,airplane,"have wings, transport, flies"
62281,airplane,"Is a vehicle, uses an engine, uses gasoline, used to carry passengers, travels distances, flies, has wings, found in airports, multiple types."
63718,airplane,"is transportation, is expensive, it's full of people, it can be used for mass destruction, it is suppose to be the safer way to travel."
65329,airplane,"is a form of transportation, flies, is made of metal, runs on gas, is big, used by people, has wings"
62557,airplane,"has wings, can fly, made of metal"
66346,airplane,"large, run on jet fuel, made of people, transports goods and people"
65788,airplane,"Is an object that flies, cylindrical shaped body, provides quick travel, is fast, made of metal, carries passengers, runs on fuel, can travel long distances"
66043,airplane,"has wings, forn of transportation, carries people, flying"
64915,airplane,"runs on fuel, flies, can hold people, mode of transportaion, fastest mode of transportation, has jet engines, two pilots,"
65023,surfboard,water
65662,surfboard,"It is used to surf, Its a hard long surface, Like a skateboard for water"
63859,surfboard,"hard, is long"
64606,surfboard,"long, in water, small fin , uses for fun"
64102,surfboard,"smooth, flat, long, colorfull, used for surfing"
65833,surfboard,"they are long, fun, used in the ocean, California, made of wood, they allow you to ride on waves, they are for entertainment, contests"
63349,surfboard,"water, ocean, swim,"
65653,surfboard,"is long, ocean, wet, california, coasts, ride"
65503,surfboard,"is flat, hard, slippery, long"
65875,surfboard,"is long, multiple colors, dirty from sand."
64006,surfboard,"cool, hard, fun, colorful"
65893,surfboard,"the actual board, the design"
65719,surfboard,"used in the ocean, a fun exercise, used on waves,"
65920,surfboard,wax wave surfer rock shark turtles ocean water swiming trunks salt contest
62311,surfboard,"flat, hard, long"
65728,surfboard,"glides on the water, recreation, fun, sport, holds someone on top of the water"
64666,surfboard,"flat, it floats, goes in water, colorful, long"
63292,surfboard,"is long, made out of wood"
63034,surfboard,"Water, Sharks, Hawaii"
63535,surfboard,"it floats, in the ocean, people ride on them, different colors"
63871,surfboard,"rough, long, hard, colorful"
65740,surfboard,"fiberglas, wood, floats,"
65218,surfboard,"used on the ocean, used to surf"
64774,surfboard,Its long. It is used to stay above water. It has fins. they have a string that attaches to you. Its made of fiberglass. usually expensive.
64546,surfboard,"Flat, Float, Hard"
62839,surfboard,"sturdy, long, used for surfing, used in oceans"
65335,surfboard,used by large bodies of water to go surfing
63541,surfboard,"hard, smooth, used on water, guys use them, guys with tans use them, hurley, tough to learn,"
64873,surfboard,it is made of wood
66028,surfboard,"floats, used for surfing,is colorful, made of fiberglass, is a piece of sports equipment, is smooth, is long"
64498,surfboard,"long, narrow, it can have a person on it, it can be in water, it can be waxed, its shiny, its dull, its wet, its dry, it's in tropical areas, it's colored, it's white, it can be ridden, it's on waves, it costs money, used for surfing"
64093,surfboard,To glide on waves in the ocean.  Used for recreation and a sport
66055,surfboard,"water, saltwater, sand, blond hair, beaches, waves, tans, sunlotion, wax, sharks, bikini"
62935,surfboard,"used for surfing, beach, sand, swimsuit, waves, oceans"
63838,surfboard,Surfboards can float and glide through water with ease.
66067,surfboard,"wood, elongated board, used for surfing, rides waves, has fin"
66061,surfboard,"smooth, sleek, versital, aerodynamic"
62797,surfboard,"is long, floats in water"
65656,surfboard,Wood Water Fin Wax
65956,surfboard,"hard, durable. wet"
65083,surfboard,"is long, is smooth"
63043,surfboard,"floats, made of wood, made of plastic, carries people in the water"
64198,surfboard,"water, long, waves, floats"
64276,surfboard,"bouyant, long, used as water sport, made of foam"
63475,surfboard,"ridged, hard, smooth, colorful, used in water"
65803,surfboard,Use them in the water. Are found usually near the ocean. Can ride waves with it. Made of wood. Can be long. Can be short. Surfboarding is considered a sport. Wear swimming suit while using one. Can be dangerous.
65107,surfboard,"slick, smooth, shiny, has a fin, pointy on both ends"
66151,surfboard,water
62854,surfboard,floats
63199,surfboard,"Long, wood or fiberglass, has fin, used in water, floats, has ankle strap"
64702,surfboard,"waxed, wooden, on water, floats"
62827,surfboard,"ocean, Outdoors activity"
66178,surfboard,"is on the ocean, is what surfers use, are different colors"
63925,surfboard,is long
65416,surfboard,"found on the beach, smooth, glides in water"
63520,surfboard,"skiny, smooth, floats, found on beach and in water"
64840,surfboard,"flat, long, floats, used by surfers"
65557,surfboard,"fiberglass, smooth, long, has stablizing fins, pointy"
64042,surfboard,long
65449,surfboard,is oval used in water
63598,surfboard,surfer
65311,surfboard,"wood, water, long, fins, hard to balance,pointed, feels smooth"
65692,surfboard,"wax, water, beach, suffer, waves"
66307,surfboard,"is long, is multi colored, used in ocean, has wax, rides waves, rode by surfers"
64624,surfboard,beach
