subject_id,word,answer
64018,zebra,"has stripes, black and white, animal, runs, zoo, has babies, africa, wild life"
63382,zebra,"white with black stripes, has 4 legs, has 2 ears, is an animal, has a mane, has a tail, has hooves, is an herbivore, lives in groups"
62671,zebra,"animal, four legs, stripes, black, white, has ears, lives in the wild,"
64279,zebra,"Mammal, Lives in Africa, Black and white, has stripes, has hooves, eats grass, runs on 4 legs, lives in the savannah, is an animal, has live young"
62359,zebra,"Striped, an animal, zoo, black and white"
64897,zebra,"has stripes, black and white, in the wild, 4 legs, has a tail, built like a horse, gallops, prey, eats grass"
62764,zebra,"is striped, is an animal, is a mamal, is black and white,"
62740,zebra,"stripes, black and white, hooves, black mane"
62536,zebra,"an animal, resembles a small horse, striped"
63100,zebra,is an animal
63385,zebra,"has stripes, lives in Africa, is black and white, has hoofs, eaten by lions"
63868,zebra,"striped, animal, not common,"
63502,zebra,"stripes, color, lines"
62938,zebra,"stripes, africa, animal, lives in a zoo, four legs, white & black"
64270,zebra,"striped, is an animal, has hooves, from africa, kinda like a horse, kinda small, eats grass, canters, runs, can be ridden"
62695,zebra,"Black and White, stripes, animal, has hooves, large, grazes,"
62818,zebra,"has stripes, is a mammal, is large, eats grass, lives in africa, is at the zoo, roams around, travels in packs"
63307,zebra,black stripes four legs
62725,zebra,"animal, striped, has fur, lives in the wild, kept in zoos, horse life, four legs, mammal, is an omnivore, has a tail, cute"
63376,zebra,stripped
64441,zebra,is one kind of horse
63928,zebra,"stripes, black and white, horselike, likes open area, has a tail, 4 legs, hooves, eats grass, likes water"
62611,zebra,"stripes, animal, horse, big, eat grass, mammal, run"
64231,zebra,"stripes,mammal,large,two eyes,lives in the wild"
63724,zebra,"an animal, has stripes, black and white, has a tail, has 4 legs, similar to a horse, looks like a referee, hunted by lions, lives in africa, is a mammal"
63919,zebra,"black, white, large, herds, grunts"
64969,zebra,Black and White
64150,zebra,"is an animal, has black and white strips, is a logo, lives in Africa,"
64030,zebra,"striped, black and white, fast, dangerous, at the zoo, dirty, eats a lot, has hooves, looks like a horse, quiet"
64063,zebra,"stripes, zoo, animal, creature"
63160,zebra,"is an animal, lives in the wild, eats other living organisms to survive, breathes oxygen, runs on energy from food and from the sun"
62389,zebra,"an animal, black and white, striped, mammal, pretty."
62602,zebra,physical
64732,zebra,"black, white, four legged, animal, medium sized, hoofed, plant eater, gentle, zoo, desert,"
64327,zebra,"like a horse, has stripes, is exotic"
62545,zebra,"has stripes, is black and white, is a type of horse, is an animal, is a mammal, lives in africa, may be found in a zoo"
65047,zebra,has stripes
63115,zebra,stripes
64963,zebra,"black, white, zoo, wild, eat grass"
65056,zebra,"is a horse, it is striped, it has four legs, it can walk, it lives in the wild, it has a mane, it can neigh, it can run, it is a mammal, it has hair, it can see, it has a tongue, it has predators,"
64282,zebra,"has black or white stripes, is similar to a horse, does not sound like a horse, is a herbivore, is an inhabitant of Africa, can be found in a zoo"
62677,zebra,black and white stripes. four legs. wild animal. grazes. hunted by predators. has tail. has two ears.
65065,zebra,"Has stripes, is black and white in color, resembles the body style of a donkey, is the logo for zebra stripes bubble gum, is  a funny character in themovie madagascar, has a mohawk"
62605,zebra,"animal, runs, has stripes, lives in africa"
64462,zebra,has black stripes
64174,zebra,"Stripes, four legs, Africa, animal, mamal, prey"
62437,zebra,Blank or white stripes
63127,zebra,it is an animal. it has black and white stripes.
64549,zebra,"legs, hooves, head, torso, stripes"
64558,zebra,"is an animal, black and white, wild"
64750,zebra,lives in africa
64504,zebra,"black and white, stipped, four legs, fur,"
62845,zebra,is white and black striped
62722,zebra,"stripes, black and white, mammal, related to horses, not domestic,"
62704,zebra,"Strirped, looks like a horse, four legs, black and white"
65164,zebra,Black and white stripes
63751,zebra,"animal, black, white, stripes, lives in hot climates, used in alot of disney movies, runs, walks,"
64018,house,"is big, tall, small, square, has windows, has furniture, rooms, decoration, yard, paint, garage, doors, kitchen, bathroom, basement, live in it, cook in it, play in it"
63382,house,"has a roof, has walls, has a door, has internal rooms, contains appliances, provides shelter,"
62671,house,"different sizes, shapes, cost money, live in them"
64279,house,"is a structure, has rooms, has floors, has ceilings, has windows, made of wood and concrete, has doorways, has doors, used as a place to live"
62359,house,Home
64897,house,"has rooms, has bathrooms, has windows, has doors, a shelter, front and back yard, garage, made of different materials, furniture, most are near other houses"
62764,house,is made of bricks
62740,house,"door, windows, bathroom, bedroom, living room, office, dining room, kitchen, utility room"
62536,house,"is a building, a place where people typically live"
63100,house,"man-made, where a family can reside, has a kitchen, living room, bathrooms. can be made of brick, cement, wood."
63385,house,"shelter, holds a family, has living space"
63868,house,"home, shelter, brick, stone, food, family"
63502,house,"possessions, items, supplies, necessities"
62938,house,"walls, doors, people live in it, different sizes, different colors, rooms"
64270,house,"place where you live, place your family lives, is big, is white, is modern, is two stories tall, has two floors and a basement, has windows, has doors, have many different rooms"
62695,house,"People live in it, usually sturdy, permanent, has a roof, in a yard, provides shelter,"
62818,house,"family lives inside, has many rooms, has bedrooms, has bathrooms, has a kitchen, has a dining room, has a family room, has lots of furniture, is brick or painted"
63307,house,"roof, doors, windows, and rooms"
62725,house,"where a family lives, windows, furniture, large, shelters, safe zone, protection"
63376,house,foundation
64441,house,is an animal
63928,house,"lawn decor, big, small, home, family, 1 story, 2 stories, long,short, bathroom, bedrooms, kitchen,"
62611,house,"building, stone, big, grey, is in village, is home, is haunted"
64231,house,"Big, small,"
63724,house,"3 dimensional, contains a foundation, made of wood, made of cement, has a roof, has windows, has doors, located in a neighborhood, can have different floors, serves as shelter, is living space"
63919,house,"bathrooms, bedrooms, closets, kitchen, colorful, large, small"
64969,house,Roof and Doors
64150,house,"has many rooms, can be any color, provides a home, outside has a porch, is large or small"
64030,house,"can be any size, any color, is a comforting place to be, a protective wall, a fenced in yard, keeps you warm in the winter, protects you from weather, a place to eat, has many materials it is made of,"
64063,house,"appliances, rooms, family, pictures, bathroom, kitchen"
63160,house,"building, where people live, solid, will not move, warm or cold"
62389,house,"Your home, where someone lives, a location, a shelter, a need, safe place, family."
62602,house,functional
64732,house,"big, homily, sleeping place, family, dinner, dinning room"
64327,house,"it is a structure, made of wood or metal or stone, a place to live"
62545,house,"is a building, has a roof, has windows, contains a family, is a place to live, contains furniture, has doors"
65047,house,where you live
63115,house,windows
64963,house,"brick, siding, wood, stairs, kitchen"
65056,house,"it has a roof, it has a kitchen, it has a bathroom, it is shelter, it has bedrooms, it can have a basement, it can collapse, it has a living room, it has a dining room, it has a fridge, it has sinks, it has floors, it can have stairs, it has chairs,"
64282,house,"is a home, is a building, has windows, has doors, is found in cities, towns, neighborhoods"
62677,house,"runs, has soft muzzle. eats hay. can be ridden. has mane."
65065,house,"A house is a shelter, a covering, a form of protection, a place that inhabits a family or individual, is usually sqaurish in shape, can vary in style and archetectuaral details, a place to rest your head"
62605,house,"has rooms, bathrooms, kitchen, closet, family rooms, living rooms, garague"
64462,house,is a place to live
64174,house,"Home, doors, nails, wood,  family"
62437,house,Foundation and a roof
63127,house,people live in it. it has a roof. it has doors. it has windows.
64549,house,"foundation, floors, doors, windows, roof"
64558,house,"building, colorful, runs on electric, family"
64750,house,provides shelter
64504,house,"home, living, family, good food, roof, comfy bed, t.v., movie nights, thankgiving diiner, family gatherings, warm, cozy, board games,"
62845,house,is usually square shaped
62722,house,"wood, windows, doors, walls, roofs,"
62704,house,"kitchen, living room, dining room, family, pets, bedrooms, bathrooms"
65164,house,place of shelter
