subject_id,word,answer
1,finger,"foods, paint, hands"
1,careless,free flowing
1,casual,"laid back, calm, jeans and a tshirt"
1,calories,food
1,checking,check book
1,bashful,seven dwarfs
1,different,unique
1,cue,tv show
1,ashamed,embarrassed
1,chips,bbq
1,ridiculous,clown
1,obvious,clearly seen
1,above,sky
1,inexpensive,fast food
1,cocky,my sorority
1,birds,"wings, feathers"
1,adventurous,"hiking, outdoors"
1,forceful,bad boy friend
1,beneath,the ground
1,beautiful,girls
1,discreet,hidden
1,awful,ugly
1,eyebrows,hairy
1,comfortable,"jeans and a tshirt, cozy bed"
1,reliable,good friend
1,motionless,"dead, tired, not moving"
1,athletic,jocks
1,alike,the same
1,scent,smell good
1,pretty,girls
1,kids,"messy, playful"
1,precise,"always right, exactly"
1,critical,"parents, teachers"
1,adults,"grown ups,"
1,boys,"short hair cuts, baseball hats"
1,grown,"grass, mud, dirt"
1,bored,homework
1,hot,summer
1,boiled,water
1,beyond,over tithe top
1,contacts,people you know
1,accurate,right
1,away,moving on
1,outrageous,extremely over the top
2,finger,"is located in Hand,use to eat,point to something or someone."
2,couch,"sit,lay,labor and sleep."
2,before,"Past,over,can not be reverse."
2,dangerous,"Harmful, kill,and risk."
2,stolen,"Bad,something that belong to someone else."
2,crackers,steal someone else data.
2,cruel,"harsh,pain,hardship."
2,nervous,"worried,scared."
2,abnormal,Behavior.
2,burnt,Fire.
2,cloudy,weather.
2,controls,"In power,command."
2,backward,No progress.
2,seldom,"Does not mostly occur,surprise."
2,conscious,"uncomfortable, feeling bad."
2,cute,"Looking good,beauty."
2,after,later in time.
2,dense,"sit,lay,labor and sleep."
2,asleep,"Stupid,dummy."
2,crunchy,"Noise,sound."
2,cooked,"Food, stove, oven,ready to eat."
2,downstairs,"Home,staircase."
2,naive,"Unaffected,inexperience."
2,anxious,"Worry,doubtful."
2,numerous,"Large,Long run."
2,genuine,"show interest,going for something,real."
2,cheerful,"Happy,fun."
2,cheap,"Not expensive,affordable."
2,adorable,"cute,attractive."
2,ahead,forward.
2,strict,"Tough,wicked."
2,bumps,"collide,increase."
2,creative,"produce,new idea."
2,arrogant,"Disrespectful,fearless."
2,aware,"careful,know."
2,blinds,"dark,no vision."
2,difficult,"not easy,have no idea."
2,absurd,"Meaningless,wasteful."
2,cents,"Money,coin,silver,gold."
2,deadly,Dangerous.
2,crafts,"Arts,skill,occupation."
2,formal,social.
2,joyous,Excited.
2,delicate,"Pleasure, life,addiction."
2,needy,"wanted,unsatisfy."
2,crops,"Plant,food."
2,cups,"Plastic,metal,drinks."
2,baked,"bread,food,hot."
2,medieval,"old, not enlighten."
2,components,Part.
2,bright,shine.
2,priceless,Can not be purchase.
2,always,regularly.
2,crooked,"Dishonest,unbelievable."
2,alone,Bored.
2,excited,Enjoy the moment.
2,brilliant,Sharp.
2,around,"surrounding,environment,people."
2,ahoy,attention.
3,finger,"body part, touching, feeling, used for musical instruments, illustrations"
3,couch,"living rooms, sleeping, watching TV, entertainment"
3,before,"previous, prior, beginning, first"
3,dangerous,"scary, harmful, adventure, monster, crime, hazard, guns, fire, cars, planes"
3,stolen,"thief, jewelry, crime, mad"
3,Crackers,"cheese, babies, hungry"
3,cruel,"mean, rude, thoughtless, bullies, abuse"
3,nervous,"scared, jumpy, solo"
3,abnormal,"weird, defect, different"
3,burnt,"ouch, fire, hot, skin"
3,cloudy,"rain, storms, sad, cold, gray"
3,controls,"buttons, cars,"
3,backward,rewind
3,seldom,"not often, rare, fun"
3,conscious,"mind, knowing"
3,cute,"animals, describing, children, attractive"
3,after,"later, following something"
3,dense,"living rooms, sleeping, watching TV, entertainment"
3,asleep,"not much meaning, no fun, difficult to understand"
3,crunchy,"peanut butter, hard, loud"
3,cooked,"food, hot, supper"
3,downstairs,"kitchen, living area"
3,naive,"dumb, not informed, childish"
3,anxious,"nervous, excited, keyed up"
3,numerous,"several, lots"
3,genuine,"real, pure, expensive, kind"
3,cheerful,"happy, grandmothers, parties, mood"
3,cheap,"thrift, popular, not real"
3,adorable,"attractive, most babies, animals"
3,ahead,"future, winning"
3,strict,"mean, principals"
3,bumps,"hurt, road, slow"
3,creative,"new, exciting, artists"
3,arrogant,"rude, crude, self absorbed"
3,aware,"informed, smart, mature"
3,blinds,"window, dark, shade"
3,difficult,"hard, complicated, relationships"
3,absurd,"of the wall, weird, abnormal"
3,cents,"cheap, little, pennies, coins"
3,deadly,"dangerous, scary, snakes"
3,crafts,"art, school, creative"
3,formal,"nice, dresses, expensive"
3,joyous,"happy, Christmas"
3,delicate,"soft, fragile, small"
3,needy,"poor, sad"
3,crops,"food, farming, profit"
3,cups,"water, cooking, measuring"
3,baked,"cakes, kitchen, food, cooking"
3,medieval,"old days, knights"
3,components,"parts, elements,"
3,bright,"light, sun, window"
3,priceless,"sentimental, MasterCard"
3,always,"often, routine, common"
3,crooked,bent
3,alone,"without anyone, sadness, solo"
3,excited,"happy, anxious"
3,brilliant,"smart, light, unique"
3,around,"circle, round, complete"
3,ahoy,"cookies, pirates, sailing"
4,finger,"skin, bendable, on humans, fingernails, can be amputated"
4,couch,"squishy, leather or cloth, comfortable, many colors, many patterns"
4,before,"beginning, the start, old, previous"
