subject_id,word,answer
9fbbce61dd,Boxer,"game player, martial  arts player, fist with fight game"
9fbbce61dd,Dancer,"body movement, artist, body movable in a  particular  style,teacher, master,professional"
9fbbce61dd,Map,"atlas, world  geographical limits, miniature of  earth ,globe"
9fbbce61dd,Plain,"white,equal place, plain  area, , earth"
9fbbce61dd,Town,"city,bazar,center of  a   district, urban area, corporation area,"
46db8237d3,Boxer,"mohamed ali,wwe,famous sports"
46db8237d3,Dancer,"michael jackson,shakira,carnatic,western"
46db8237d3,Map,"world map,geographical,location,mapping"
46db8237d3,Plain,"without any other matters,simple"
46db8237d3,Town,"rural,city,vienna,mumbai,chennai"
f433c3fbfe,Boxer,Fighter
f433c3fbfe,Dancer,performer
f433c3fbfe,Map,plan
f433c3fbfe,Plain,natural
f433c3fbfe,Town,urban
33f9438463,Boxer,"a person who fights as a sport, usually with gloved fists, according to set rules; prize-fighter; pugilist. one of a German breed of medium-sized, stocky, short-haired, pug-faced dogs having a brindled or tan coat with white markings. a person or thing that packs items into boxes. boxers. boxer shorts. a person who boxes, either professionally or as a hobby; pugilist; a medium-sized smooth-haired breed of dog with a short nose and a docked tail"
33f9438463,Dancer,"a person who dances; a person who dances professionally, as on the stage. a person who dances; a person who dances professionally, as on the stage."
33f9438463,Map,"a representation, usually on a flat surface, as of the features of an area of the earth or a portion of the heavens, showing them in their respective forms, sizes; a maplike delineation, representation, or reflection of anything: The old man's face is a map of time; Mathematics: function.
5. Genetics . genetic map."
33f9438463,Plain,"clear or distinct to the eye or ear: a plain trail to the river; to stand in plain view; clear to the mind; evident, manifest, or obvious: to make one's meaning plain; conveying the meaning clearly and simply; easily understood: plain talk; downright; sheer; utter; self-evident: plain folly; plain stupidity; free from ambiguity or evasion; candid; outspoken: the plain truth of the matter."
33f9438463,Town,"a thickly populated area, usually smaller than a city and larger than a village, having fixed boundaries and certain local powers of government; a densely populated area of considerable size, as a city or borough; (especially in New England) a municipal corporation with less elaborate organization and powers than a city; (in most U.S. states except those of New England) a township; any urban area, as contrasted with its surrounding countryside."
95e2618c28,Boxer,A member of a secret society in China that unsuccessfully attempted in 1900 to drive foreigners from the country by violence and force Chinese Christians to renounce their religion.
95e2618c28,Dancer,"To move rhythmically usually to music, using prescribed or improvised steps and gestures,To engage in or perform"
95e2618c28,Map,"A representation, usually on a plane surface, of a region of the earth or heavens."
95e2618c28,Plain,"Free from obstructions; open; clear,Obvious to the mind"
95e2618c28,Town,"A population center that is larger than a village and smaller than a city,An area that is more densely populated or developed than the surrounding area: going into town to shop"
99822f0efe,Boxer,"Fighter, dog, packager, prize"
99822f0efe,Dancer,"Choreography, steps, moves,music, rhythms"
99822f0efe,Map,"Atlas, globe, travel, vacation, location"
99822f0efe,Plain,"Unadorned, basic, simple, undecorated"
99822f0efe,Town,"Village, city, zip code, hall, municipal"
bdf550a047,Boxer,"who plays boxing,have strong muscles,they give punches,based on punches they got marks"
bdf550a047,Dancer,"it is a art,move their body parts in a rhythamic way,series of steps,have expressions"
bdf550a047,Map,"a plan,diagram,shows physical features of an area,consists of roads,places,cities as points"
bdf550a047,Plain,"simple,ordinary,easy to see,not attractive,informal,ordinary clothes"
bdf550a047,Town,"settlement larger than village,have all facilities,well developed area,can get all needed things"
fbcc6f1973,Boxer,pushing one another
fbcc6f1973,Dancer,dancing a person
fbcc6f1973,Map,overall film
fbcc6f1973,Plain,place
fbcc6f1973,Town,city
ab266a6b3c,Boxer,"a kind of sport, punching is done in sports, gloves are worn before boxing"
ab266a6b3c,Dancer,"move in rhythm, an exercise, related to music,"
ab266a6b3c,Map,"flat representation of ground, details of earth are covered, has various scales, diagram showing representation of an area"
ab266a6b3c,Plain,"flat, no undulations,clear, evident"
ab266a6b3c,Town,"populated area between city and village,people live in a town, fairly good facilities are available"
1b56e84bfa,Boxer,"A Fighter, Likes Fighting, Likes Violence, body builder, wrestler, likes punching people, hardcore man"
1b56e84bfa,Dancer,"music lover, athletic, energetic person, flexible, fun loving person, party man"
1b56e84bfa,Map,"graphical view of a place, shows borders of countries and states, shows railway lines, river lines, mining's, road tracks, lakes, mountains"
1b56e84bfa,Plain,"Field, open ground, space for cultivation, farm,"
1b56e84bfa,Town,"more number of people live in a group, bigger than village smaller than city, place where basic needs get easily compare to village, good standard of living compare to village"
5cf41e6737,Boxer,player
5cf41e6737,Dancer,"activist, entertrainer"
5cf41e6737,Map,overall view
5cf41e6737,Plain,clear
5cf41e6737,Town,area
075bbbca89,Boxer,noun a member of a fiercely nationalistic Chinese secret society which flourished in the 19th century.
075bbbca89,Dancer,noun a system of aerobic exercise using dance movements.
075bbbca89,Map,"a diagrammatic representation of an area of land or sea showing physical features, cities, roads, etc."
075bbbca89,Plain,not decorated or elaborate; simple or ordinary. without a pattern; in only one colour. unmarked; without identification: a plain envelope.
075bbbca89,Town,"a built-up area with a name, defined boundaries, and local government, that is larger than a village and generally smaller than a city. ØBritish dated the chief city or town of a region."
eb09612a37,Dancer,dancing
eb09612a37,Map,world design
eb09612a37,Plain,empty
eb09612a37,Town,city
6e487b9cb7,Boxer,sport of fighting with the fists.
6e487b9cb7,Dancer,move rhythmically usually to music.
6e487b9cb7,Map,Which shows the correct direction for a place.
6e487b9cb7,Plain,arge area of level .
6e487b9cb7,Town,human settlement larger than a village but smaller than a city.
153fbbab45,Boxer,"someone who takes part in the sport of  boxing 
    He was a  heavyweight  boxer before he became an actor."
153fbbab45,Dancer,I never knew you were such a good dancer.
153fbbab45,Map,a  road  map
153fbbab45,Plain,He prefers plain food - nothing too fancy.
153fbbab45,Town,a fishing/mining town
e180b38ede,Boxer,"Who fights for money,"
e180b38ede,Dancer,"who dances for the music played, who puts different posters/mudras in hands and legs."
e180b38ede,Map,diagrammatic representation of an area or place.
e180b38ede,Plain,flat surface
e180b38ede,Town,a place where people live together
22062e1402,Boxer,"is a person who wrestles,has a strong fist,has a firm body."
22062e1402,Dancer,"is a person who could dance,maintains his/her body in a perfect shape."
22062e1402,Map,"is a pictorial representation of places,is portable,is accurate,is adjustable and cheaply available."
22062e1402,Plain,"is a greenish area,attracts everyone,have a gentle breeze."
22062e1402,Town,"is a place where the people live in,crowded,densely populated."
b0af56c46c,Boxer,"sport, one who know boxing"
b0af56c46c,Dancer,one who dance
b0af56c46c,Map,router
b0af56c46c,Plain,smooth
b0af56c46c,Town,locality
e97ff5f954,Boxer,a kind of dog/a person who boxes/a kind of underwear for men
e97ff5f954,Dancer,a professional who moves to music in a rhythmic way
e97ff5f954,Map,"a guide showing the location of things, places, etc/to make a plan before executing"
e97ff5f954,Plain,not designed/without any pattern/simple/boring
e97ff5f954,Town,"a place that is occupied by many people and offers many facilities like schools, hospitals etc."
6c04a7f4c1,Boxer,He is the player
6c04a7f4c1,Dancer,he is the dancer  western or clasical
6c04a7f4c1,Map,which indicates the structure of the world
6c04a7f4c1,Plain,which is used to travel in air
6c04a7f4c1,Town,where the location of the place
d6fbaf0859,Boxer,a person engaged in boxing
d6fbaf0859,Dancer,a person moving gracefully in sync with the music
d6fbaf0859,Map,"locator,"
d6fbaf0859,Plain,simple
d6fbaf0859,Town,"residential place, collection of houses on a particular place"
0da623e05b,Boxer,a person who fights
0da623e05b,Dancer,a person who dance
0da623e05b,Map,route
0da623e05b,Plain,leveled area
0da623e05b,Town,a densely populated area of considerable size
3ffa10e4f4,Boxer,"sport,gloves,ring,fighter."
3ffa10e4f4,Dancer,"art,moving,rhythm,man moving acording to the music."
3ffa10e4f4,Map,"paper,used for finding place,geography."
3ffa10e4f4,Plain,"wings,flies,traveling,pilots."
3ffa10e4f4,Town,"smaller than sity,houses,people,bridges."
5f6fadae3f,Boxer,"person who boxes,fighter,sports"
5f6fadae3f,Dancer,"person who dance, act of dancing,movements,"
5f6fadae3f,Map,"representation,plan, outline, diagram,surfaces, areas"
5f6fadae3f,Plain,"understandable, intelligible, unmistakable, apparent,frank"
5f6fadae3f,Town,"area, smaller than city, place,urban area"
92eebfc9ab,Boxer,"fighter, body builder, has strength, has stamina, wears gloves, sweats,moves quickly, wins matches, wears shorts"
92eebfc9ab,Dancer,"mover, glider, agile, likes music, coordinated, flows,moves with partner"
92eebfc9ab,Map,"plan, route, has lines, has scale, directs, for navigation"
92eebfc9ab,Plain,"unadorned, empty, basic, simple, clear, obvious"
92eebfc9ab,Town,"community, city, municipality, has buildings, has people, has a boundry,has area"
c01f6613c1,Boxer,this is a name of the participants in the game of boxing. it is also the name of the profession of the person as a boxer who play boxing.
c01f6613c1,Dancer,this is the name of the profession who perform some art forms. every country and the state has the traditional dances and the person who perform this dance is called the dancer.
c01f6613c1,Map,map is the drawing of the land scape and geographical locations for the easy identification of earth surfaces.
c01f6613c1,Plain,this is the type of land scape formed with relatively low relief.
c01f6613c1,Town,this is the name of the space for human settlement larger than the village and smaller than the city.
6b2ac0ef88,Boxer,player in boxing
6b2ac0ef88,Dancer,one who dances
6b2ac0ef88,Map,diagram which shows route
6b2ac0ef88,Plain,clear
6b2ac0ef88,Town,populated area less than a city
d785cac356,Boxer,Boxer is the sport game where person fight with opponent by wearing glouse on hand. its hand to hand fight
