Semantic Data S00021
Practice:
finger hand
couch cusions
Experimental:
before after
dangerous scary
stolen taken
crackers hungry
complicated
cruel unusual
nervous uneasy
abnormal normal
burnt fried
cloudy sunny
controls system
broke
backward frontwards
seldom often
conscious asleep
cute ugly
after before
dense cusions
asleep wet
crunchy cheetos
cooked baked
downstairs upstairs
naive cocky
anxious antsy
numerous multiple
genuine original
cheerful playful
cheap expensive
adorable cute
ahead behind
strict mean
bumps acne
creative artistic
arrogant rude
aware unaware
blinds window
difficult easy
absurd crazy
cents dollars
deadly harmful
crafts arts
formal casual
joyous happy
delicate soft
misses
needy want
crops fields
cups saucers
baked yummy
medieval swords
components ingredients
bright smart
priceless endless
always forever
crooked wrong
alone sad
excited estatic
brilliant genius
around near
ahoy bye
