finger hand
couch furniture
careless thoughts
casual dress
calories food
checking account
bashful thinking
different worlds
cue meanings
ashamed answers
chips dip
ridiculous beings
obvious distant
above below
inexpensive expensive
claims faults
cocky permissive
birds bees
adventurous outgoing
forceful vengeful
beneath below
beautiful ugly
discreet moderate
awful okay
eyebrows eyelids
comfortable uncomfortable
reliable unreliable
motionless sickness
athletic outgoing
alike distant
scent odor
pretty ugly
kids adults
precise awkward
critical cynical
adults kids
boys girls
grown adult
bored lazy
hot cold
boiled water
beyond beneath
contacts glasses
accurate non accurate
away far
outrageous among
marines
handsome ugly
clockwise counter clockwise
bumpy lumpy
ancient old
dollars cents
all none
carrots rabbits
alive dead
big small
attractive ugly
able unable
atomic bomb
bizarre carefree
apathetic unapathetic
glad happy
