Semantic Data s00077
Practice:
finger nail
couch potatoe
Experimental:
careless behavior
casual clothing
calories fat
checking account
bashful shy
different unique
cue clue
ashamed scared
chips dip
ridiculous pitiful
obvious clear
above top
inexpensive cheap
claims lies
cocky conceited
birds of a feather flock together
adventurous dora
forceful men
beneath under
beautiful pretty
discreet slick
awful bad
eyebrows arched
comfortable couch
reliable friends
motionless careless
athletic football players
alike twins
scent perfume
pretty beautiful
kids childish
precise accurate
critical math
adults helpers
boys cant live without them
grown adults
bored me
hot sun
boiled water
beyond beneath
contacts eyes
accurate precise
away far
outrageous ridiculous
marines
handsome men
clockwise time
bumpy roads
ancient egypt
dollars money
all people
carrots ranch
alive living
big fat
attractive sexy
able capable
atomic bombs
bizarre outrageous
apathetic careless
glad happy
