Semantic Data 10314584
Practice:
finger hand
couch chair
Experimental:
careless forgetful
casual dress
calories diet
checking account
bashful fearful
different same
cue point
ashamed afraid
chips dip
ridiculous sucks
obvious clear
above beyond
inexpensive cheap
claims statements
cocky pride
birds fly
adventurous outgoing
forceful strong
beneath below
beautiful pretty
discreet sneaky
awful bad
eyebrows arch
comfortable content
reliable trustworthy
motionless still
athletic built
alike same
scent smell
pretty beauty
kids children
precise accurate
critical crucial
adults grown-ups
boys girls
grown adult
bored sad
hot cold
boiled hot
beyond above
contacts associates
accurate precise
away move
outrageous outgoing
marines
handsome attractive
clockwise counter clockwise
bumpy road
ancient old
dollars signs
all nothing
carrots rabbit
alive dead
big tall
attractive handsome
able willing
atomic bomb
bizarre strange
apathetic sympathy
glad sad
