finger bony, nail,mucles
couch comfortable, colorful, bed
careless mistakes, forgetful, messy
casual attire, sandals, jeans, t-shirt
calories food, fat calories, protein, carbohydrates
checking test, answers, clothes, products
bashful shy, anti-social, quiet
different unique, special, artistic
cue sign, quote, lines
ashamed embarrassed, disappointed, angry
chips poker chip, potato chips, salty, crunchy
ridiculous out of the ordinary, mischief, stupid
obvious plain, ordinary, patterns
above on top, reaching up, trees
inexpensive low cost, cheap, give aways
claims stocks, lost money, trophy
cocky very high about yourself, the man, very confident
birds flock, trees, doves
adventurous exciting, wonderful, fun
forceful push, wind, vibes
beneath under, pipes, ground
beautiful flowers, animals, women
discreet quite, in the dark, bashful
awful terrible, embarrassing, ugly
eyebrows skinny eyebrows, short and long eyebrows, uni-brow
comfortable relaxed, let your guard down, opened
reliable very depending, very friendly, hard working
motionless still, scared, shocked
athletic fast, athlete, sports
alike the same, facial features, body types
scent smell, odor, trash
pretty beautiful, sweet, children
kids bad, hard headed, playful
precise on point, to the T, perfect
critical bad mouthing, critiquing, correcting
adults in charge, grown ups, advice
boys dirt, playing, entertainment
grown older, taller, wiser
bored nothing to do, motionless, aggravated
hot mad, sweaty, hot
boiled hot, water, eggs
beyond forward, after, in front
contacts numbers, people, disease
accurate on point, precise, throwing
away leaving, moving, trash
outrageous ridiculous, bad decisions, people
marines
handsome man, strong, smart
clockwise numbers, seconds, time
bumpy ruff, rocks, dirt
ancient old, Egyptian, treasure
dollars money, coins, bills
all everything, work, kids
carrots vegetables, orange, crunchy
alive breathing, heart beat, stress free
big special events, games, clothes
attractive cute, pretty, handsome
able willing, volunteer, free
atomic bomb, destruction, secretive
bizarre forest, diseases, monsters
apathetic books, school work, advanced
glad happy, excited, meaningful
