Semantic Data S00331
Practice:
finger Nail
couch Potato
Experimental:
acoustic Sound
ageless Young
alkaline Battery
assault Rifle
award Commend
beautician Barber
bicep Muscle
bitterness Sour
bonehead Meathead
brigade Army
bronco Horse
buoy Water
burned Fire
butter Churn
chevron Gas
chromium Chemistry
concern Interest
confusion Confused
consume Eat
cultural Society
direction Way
eavesdrop Listen
exhale Inhale
facet Item
fbi Cia
feint Weak
finalize Done
handlebars Motorcycle
held Hold
immortal Infinite
indication Note
investor Wall Street
japan East
juice Box
jump Rope
lie Cheat
lock Door
lovesick Sad
manipulative Puppet
monotone Duotone
offstage Backstage
ostracize Criticize
panorama Mountains
pocketbook Purse
profound Prestigious
promote Advertise
prospect Look
recliner Chair
right Wrong
robust Large
santa Claus
shut Up
slangy Metal
suppose Wonder
surprise Excite
surreal Weird
torch Olympics
tout Brag
transformer Electrical
typescript Font
