Semantic Data S00354
Practice:
finger skinny
couch fluffy
Experimental:
acoustic air
ageless pretty
alkaline straight
assault hurt
award exciting
beautician pretty
bicep big
bitterness sour
bonehead idiot
brigade big
bronco buck
buoy bounce
burned hurt
butter smooth
chevron gas
chromium grill
concern scared
confusion unknown
consume eat
cultural languages
direction right
eavesdrop sneaky
exhale breathe
facet easy
fbi scary
feint bad
finalize quick
handlebars two
held tight
immortal sin
indication enter
investor smart
japan far
juice sweet
jump high
lie bad
lock close
lovesick happy
manipulative mean
monotone silent
offstage behind the curtains
ostracize big
panorama camera
pocketbook thick
profound smart
promote talk good about
prospect possible
recliner back
right correct
robust big
santa fat
shut close
slangy quick
suppose maybe
surprise shock
surreal wow
torch fire
tout sour
transformer big
typescript letter
